PLAYER,SEASON,TEAM,X,Y,SHOT_MADE,PLAYOFFS,MVP,Champion
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,5.7,31.35,0,0,0,0
Kevin Durant,2007-08,SEA,-9.8,23.15,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,4.3,12.85,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-8.4,8.05,0,0,0,0
Kevin Durant,2007-08,SEA,18.9,8.55,1,0,0,0
Kevin Durant,2007-08,SEA,17.6,13.35,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-7.5,30.95,0,0,0,0
Kevin Durant,2007-08,SEA,16.9,10.05,1,0,0,0
Kevin Durant,2007-08,SEA,2.9,22.35,1,0,0,0
Kevin Durant,2007-08,SEA,17.7,15.45,1,0,0,0
Kevin Durant,2007-08,SEA,-19.7,22.55,0,0,0,0
Kevin Durant,2007-08,SEA,17.4,24.35,0,0,0,0
Kevin Durant,2007-08,SEA,0.3,22.55,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-1.3,33.05,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-3.4,12.05,0,0,0,0
Kevin Durant,2007-08,SEA,-23.3,9.05,0,0,0,0
Kevin Durant,2007-08,SEA,10.7,28.75,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,7.9,21.35,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-8.2,8.35,1,0,0,0
Kevin Durant,2007-08,SEA,-2.4,12.95,0,0,0,0
Kevin Durant,2007-08,SEA,-6.1,10.35,0,0,0,0
Kevin Durant,2007-08,SEA,7.5,12.05,0,0,0,0
Kevin Durant,2007-08,SEA,-13.3,6.95,0,0,0,0
Kevin Durant,2007-08,SEA,-5.2,23.05,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-9.2,24.45,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-8.9,19.55,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-13.8,22.85,0,0,0,0
Kevin Durant,2007-08,SEA,21.5,20.55,0,0,0,0
Kevin Durant,2007-08,SEA,-11.0,11.65,1,0,0,0
Kevin Durant,2007-08,SEA,-17.2,13.15,0,0,0,0
Kevin Durant,2007-08,SEA,19.4,23.65,0,0,0,0
Kevin Durant,2007-08,SEA,-17.2,6.95,0,0,0,0
Kevin Durant,2007-08,SEA,-6.4,9.05,1,0,0,0
Kevin Durant,2007-08,SEA,-16.3,8.35,0,0,0,0
Kevin Durant,2007-08,SEA,24.1,8.25,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-18.7,22.55,1,0,0,0
Kevin Durant,2007-08,SEA,-10.7,23.05,0,0,0,0
Kevin Durant,2007-08,SEA,-2.9,6.95,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-14.6,22.05,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-11.2,19.85,1,0,0,0
Kevin Durant,2007-08,SEA,16.1,5.15,0,0,0,0
Kevin Durant,2007-08,SEA,21.0,19.75,1,0,0,0
Kevin Durant,2007-08,SEA,-22.8,15.25,0,0,0,0
Kevin Durant,2007-08,SEA,4.6,7.85,1,0,0,0
Kevin Durant,2007-08,SEA,-13.0,11.35,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-5.7,20.25,1,0,0,0
Kevin Durant,2007-08,SEA,4.1,9.05,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-10.2,27.65,0,0,0,0
Kevin Durant,2007-08,SEA,7.5,4.75,0,0,0,0
Kevin Durant,2007-08,SEA,-4.7,30.05,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,12.6,12.15,0,0,0,0
Kevin Durant,2007-08,SEA,-17.4,13.45,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-10.7,20.75,0,0,0,0
Kevin Durant,2007-08,SEA,-7.2,22.35,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-8.7,23.65,1,0,0,0
Kevin Durant,2007-08,SEA,16.4,4.95,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,23.2,10.85,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-14.9,16.15,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-16.7,22.55,0,0,0,0
Kevin Durant,2007-08,SEA,15.8,3.45,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-11.2,12.35,0,0,0,0
Kevin Durant,2007-08,SEA,-12.3,11.65,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-2.3,20.35,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-1.3,30.05,0,0,0,0
Kevin Durant,2007-08,SEA,-1.0,20.05,1,0,0,0
Kevin Durant,2007-08,SEA,10.7,20.35,0,0,0,0
Kevin Durant,2007-08,SEA,19.9,22.55,0,0,0,0
Kevin Durant,2007-08,SEA,13.5,8.35,0,0,0,0
Kevin Durant,2007-08,SEA,-2.9,11.55,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-3.4,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,6.7,6.05,0,0,0,0
Kevin Durant,2007-08,SEA,16.9,14.75,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-15.3,4.75,0,0,0,0
Kevin Durant,2007-08,SEA,19.2,6.45,1,0,0,0
Kevin Durant,2007-08,SEA,-6.6,6.45,0,0,0,0
Kevin Durant,2007-08,SEA,7.4,18.75,1,0,0,0
Kevin Durant,2007-08,SEA,-15.6,24.95,1,0,0,0
Kevin Durant,2007-08,SEA,7.1,20.25,1,0,0,0
Kevin Durant,2007-08,SEA,-9.4,24.95,1,0,0,0
Kevin Durant,2007-08,SEA,-5.1,20.75,0,0,0,0
Kevin Durant,2007-08,SEA,-0.6,10.35,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,9.5,14.35,0,0,0,0
Kevin Durant,2007-08,SEA,-10.7,14.35,1,0,0,0
Kevin Durant,2007-08,SEA,3.4,5.15,0,0,0,0
